商品名,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
ワインハーフボトル1500円,お酒類,内税,6000,20.3,6000,20.3,4,15.4,0,0.0,10079,,
洋梨スパークリング　ハーフ　1500円,お酒類,内税,6000,20.3,6000,20.3,4,15.4,0,0.0,10086,,
シードル甘口フル　2180円,お酒類,内税,4360,14.7,4360,14.7,2,7.7,0,0.0,10128,,
ソフトドライ　100g 650円,加工品,内税,3900,13.2,3900,13.2,6,23.1,0,0.0,10014,,
ジュース　1000ml 880円,ジュース,内税,2640,8.9,2640,8.9,3,11.5,0,0.0,10000,,
シードル　低アルコール　2180円,お酒類,内税,2180,7.4,2180,7.4,1,3.8,0,0.0,10130,,
シードル甘口ハーフ　1250円,お酒類,内税,1250,4.2,1250,4.2,1,3.8,0,0.0,10129,,
シナノブレンド甘口　1250円,お酒類,内税,1250,4.2,1250,4.2,1,3.8,0,0.0,10132,,
ドライフルーツ 500円,加工品,内税,1000,3.4,1000,3.4,2,7.7,0,0.0,10010,,
チップス 550円,加工品,内税,550,1.9,550,1.9,1,3.8,0,0.0,10009,,
タレ 小 480円,加工品,内税,480,1.6,480,1.6,1,3.8,0,0.0,10007,,
